Year,Month,SiteID,Type,lat,lon,GPP,Mod17a2,gpp_lue_LAI,gpp_lue_CI,gpp_lue_MCMC
2013,7,AU-Cpr,SAV,-34.0021,140.5891,1.28044,1.18125,0.468892843,NA,1.073372877
2013,8,AU-Cpr,SAV,-34.0021,140.5891,1.37307,1.61875,0.817294915,NA,1.440828331
2013,9,AU-Cpr,SAV,-34.0021,140.5891,1.39608,1.859375,1.477436575,NA,2.309913365
2013,10,AU-Cpr,SAV,-34.0021,140.5891,1.37486,1.925,1.169739567,NA,1.982872803
2013,11,AU-Cpr,SAV,-34.0021,140.5891,1.04791,1.940625,0.552799845,NA,2.158213114
2013,12,AU-Cpr,SAV,-34.0021,140.5891,1.06639,1.33125,0,NA,0
2014,1,AU-Cpr,SAV,-34.0021,140.5891,0.419745,0.840625,0,NA,0
2014,2,AU-Cpr,SAV,-34.0021,140.5891,0,0.721875,0,NA,0
2014,3,AU-Cpr,SAV,-34.0021,140.5891,0,0.8375,0.071778237,NA,1.091095783
2014,4,AU-Cpr,SAV,-34.0021,140.5891,0.0216203,0.833333333,0.108333887,NA,1.074909958
2014,5,AU-Cpr,SAV,-34.0021,140.5891,0.0230352,0.546875,0.071378608,NA,0.782602619
2014,6,AU-Cpr,SAV,-34.0021,140.5891,0.104399,0.5875,0.086349777,NA,0.584766426
2014,7,AU-Cpr,SAV,-34.0021,140.5891,0.168124,0.771875,0.165129221,NA,0.756015918
2014,8,AU-Cpr,SAV,-34.0021,140.5891,0.554663,0.946875,0.267193894,NA,0.942084738
2014,9,AU-Cpr,SAV,-34.0021,140.5891,0.492956,1.99375,2.654633166,NA,2.905289413
2014,10,AU-Cpr,SAV,-34.0021,140.5891,0.228237,1.345833333,0.780492621,NA,1.617054484
2014,11,AU-Cpr,SAV,-34.0021,140.5891,0.263656,0.94375,0,NA,0
2014,12,AU-Cpr,SAV,-34.0021,140.5891,0.392115,0.9125,0.143627482,NA,1.484937847
2012,1,AU-Cum,EBF,-33.61518,150.72362,4.21781,6.483333333,1.514512092,11.51099378,4.429039528
2012,2,AU-Cum,EBF,-33.61518,150.72362,3.79693,6.708333333,1.666261148,9.827682126,4.119659466
2012,3,AU-Cum,EBF,-33.61518,150.72362,3.3967,6.571875,1.994838093,10.0177561,4.052222907
2012,4,AU-Cum,EBF,-33.61518,150.72362,3.22817,3.4625,0.927860447,7.720750603,2.918368141
2012,5,AU-Cum,EBF,-33.61518,150.72362,2.95267,2.895833333,0.763979075,6.730501501,2.527925174
2012,6,AU-Cum,EBF,-33.61518,150.72362,2.20842,1.99375,0.394809313,4.530269556,1.620758451
2012,7,AU-Cum,EBF,-33.61518,150.72362,2.67952,2.2875,0.485240388,5.259251082,1.89301952
2012,8,AU-Cum,EBF,-33.61518,150.72362,3.34507,3.146875,0.740007346,7.446527305,2.779125915
2012,9,AU-Cum,EBF,-33.61518,150.72362,3.76173,4.365625,1.142921478,9.296774176,3.504232667
2012,10,AU-Cum,EBF,-33.61518,150.72362,3.79923,3.925,1.406743525,8.324899503,3.787569772
